belief_change.ai_confidence_slider,belief_change.ai_summary,belief_change.ai_summary_accuracy,belief_change.current_view,belief_change.elaboration,belief_change.has_changed_mind,consent,demographics.age,demographics.education,demographics.gender,disqualified,participant_id,post_chat.chatbot_summary_accuracy,post_chat.final_belief_confidence,prolific_id,timestamps.completed,timestamps.started,views_matrix.climate_change.attention_check,views_matrix.climate_change.ccs_01,views_matrix.climate_change.ccs_02,views_matrix.climate_change.ccs_03,views_matrix.climate_change.ccs_04,views_matrix.climate_change.ccs_05,views_matrix.climate_change.ccs_06,views_matrix.climate_change.ccs_07,views_matrix.climate_change.ccs_08,views_matrix.climate_change.ccs_09,views_matrix.climate_change.ccs_10,views_matrix.climate_change.ccs_11,views_matrix.climate_change.ccs_12,views_matrix.political.economic_issues,views_matrix.political.social_issues
,,,neutral,,true,true,45,High school diploma or equivalent,Man,false,3cb9cfe1-14e1-494b-bd1c-23a1b37043da,,,3334343434,,2025-09-16T01:09:56.172Z,,,,,,,,,,,,,,,
,,,neutral,,true,true,30,"Some college, no degree",Man,false,3e689bda-4ac5-4e7c-a1ee-2b1decda0f1c,,,3e234234324,,2025-09-04T06:03:15.676Z,,,,,,,,,,,,,,6,
,,,neutral,,false,true,,,,false,41ca631b-9533-4db6-a78a-b7da994e9cd2,,,,,2025-08-29T05:42:38.640Z,,,,,,,,,,,,,,,
,,,neutral,,true,true,31,"Some college, no degree",Man,false,4644d6c1-303d-42a5-a18a-ae0e442bf61b,,76,3334343434,2025-09-30T03:01:00.886Z,2025-09-30T03:00:51.997Z,,,,,,,,,,,,,,,
,,,neutral,,true,true,30,Associate degree,Other,false,4a45d70c-c72e-4f22-9ac3-1c0522104083,,100,edededed,2025-09-05T04:53:28.623Z,2025-09-05T04:53:05.025Z,,,,,,,,,,,,,,7,
,,,neutral,"Oh, sorry I had a conversation with a friend He is a cliamte scientist and gave me some good info He showed me some graphs that showed the temperature rising Made me believe it was real I thought it was fake and then I thought t was real Felt weird, didn't like feeling dumb I tried to be open minded about it I don't know Probably that conversation with my friend I think it's real now That it's real and we do more to fix it feeling like I knew what was going on no, that's all",true,true,30,High school diploma or equivalent,Man,false,4a765763-48f3-4f50-be3b-138b3e1343f1,,68,ihgiygiygg,2025-09-11T01:46:45.186Z,2025-09-11T01:40:11.093Z,,,,,,,,,,,,,,2,
,,,neutral,End the chat,true,true,,,,false,4c09b831-13a1-448b-970f-54fe4446ad68,,72,23423432432,2025-09-17T04:35:15.406Z,2025-09-17T04:34:56.457Z,,,,,,,,,,,,,,,
,,,neutral,,true,true,,,,false,515437d5-e614-4bb0-9d43-3f16174a789b,,90,123456786,2025-09-04T22:55:48.515Z,2025-09-04T22:55:37.808Z,,,,,,,,,,,,,,,
,"Thank you for sharing that with me. Just to recap what you've told me so far, here’s a quick summary:

• Your views shifted from believing in climate change to seeing it as fake.
• A significant influence was a conversation with your uncle at a family BBQ.
• He showed you graphs that contributed to your sudden realization that climate change is not real.

Does that sound right? Did I miss anything important or is there anything else you’d like to add?",,skeptic,"Yeah I was reading a magazine Yeah a big add that said it was fake Yeah it made me think about how it's always these big wig scientists that tell me it's real and I really hate them I hated my high school science teacher Yeah was such a tool Made me not trust scientists in general It just all came together one day and I knew it was fake Nah nah that's it Yeah, I used to think it was all true and I trusted scientists but now I think it's a shame I'd say more of a gradual change Yeah, so, my uncle Tommy was a big skeptic and I used to think he was full of it. But one day, he showed me his data collection So, he showed me data that siad the climate cycles were all random and there was nothing to worry about Yeah I think I used to really feel that I could trust scientists but now I just don't think so anymore. I trust my uncle. Probably trusting my uncle more. We used to go fishing and I don't know why he would lie to me. I feel really confident that I'm rigt Yeah that is pretty much it Hi Yeah I think it's fake now Yeah my uncle He's a really smart guy and told me it's fake We were at a family bbq and he showed me graphs that said it's fake Yeah sudden realisation Nah I just think it's all fake Yeah that's all",true,true,30,Less than high school,Man,false,529c7c11-ea77-4829-96fe-8a76d91ba428,,,edededed,,2025-09-01T23:48:32.939Z,,,,,,,,,,,,,,1,
,,,believer,,true,true,,,,false,53abf2d9-ddf2-430c-b1f4-3f636da66071,,,edededed,,2025-09-01T01:37:15.247Z,,,,,,,,,,,,,,,
,,,neutral,,false,true,30,Less than high school,Man,false,54ea2164-9741-4378-8b84-87beb1f2a4ff,,,crcrfrfr,,2025-08-28T01:10:40.986Z,,,,,,,,,,,,,,3,
,,,neutral,talking to my uncle,true,true,30,High school diploma or equivalent,Man,false,57218852-ca1a-4c15-8497-cd3f0b7e6e58,,,534534543,,2025-09-04T05:39:14.542Z,,,,,,,,,,,,,,5,
,,,neutral,,false,true,34,Less than high school,Woman,false,5748dcfb-e576-48ed-b2ea-8b163fc26ad8,,,wdwdw5g5g,,2025-08-28T00:49:28.678Z,,,,,,,,,,,,,,5,
,,,neutral,I watched lots of youtube videos about it End the chat,true,true,30,"Some college, no degree",Man,false,5bc3b620-1057-4c24-ad61-c9e2f4af254f,,72,3454345435,2025-09-04T05:41:57.734Z,2025-09-04T05:41:32.385Z,,,,,,,,,,,,,,5,
,,,skeptic,,true,true,,,,false,60307e7d-0d34-4c63-90c9-fd4304f5f6ff,,,edededed,,2025-09-01T04:35:46.726Z,,,,,,,,,,,,,,,
,,,neutral,,true,true,,,,false,6258ec54-28aa-4852-9506-ed3abff52e20,,90,23423432432,2025-09-25T22:46:18.363Z,2025-09-25T22:46:09.464Z,,,,,,,,,,,,,,,
,,,neutral,,false,false,30,Associate degree,Man,false,63cccaf2-8392-4e6a-9349-8c1e8d6064f4,,,,,2025-09-04T05:11:02.247Z,,,,,,,,,,,,,,,
,"Thank you for sharing your thoughts and experiences with me. To summarize your journey regarding belief change, here are some key themes that emerged:

• You transitioned from viewing climate change as fake to recognizing it as real.

• Watching Mr. Climate on YouTube was influential, particularly because of his approachable and non-pushy style.

• The realization of climate change felt sudden for you.

• The YouTube content stands out as the most significant part of your belief change journey.

• Your current perspective now reflects a firm belief in the reality of climate change.

Does this recap capture your experience accurately? Would you like to add or change anything?",,neutral,I used to think it was all fake but now I think it's real Watching mr cliamte on youtube He was nice about the whole thing and not too pushy. He didn't make money from the content It made me think it was real Felt sudden I just realised it was real Definitely the youtube content I think it's real now I think that's all,true,true,,,,false,65da03ca-6ae9-4702-9704-d1277f8348aa,,,23423432432,2025-09-22T01:36:14.683Z,2025-09-22T01:34:05.860Z,,,,,,,,,,,,,,,
,"That conversation with your uncle seems to be a pivotal moment for you. Thank you for sharing that insight. Before we wrap up, I’d like to summarize what you’ve shared to confirm I have it right. Here’s what I have:

• You used to be skeptical about climate change, influenced by family views.

• A conversation with your uncle at a barbecue made you uncomfortable due to his aggressive stance.

• This discomfort led you to seek out different information.

• You started watching Mr. Climate on YouTube, which you found well-produced and informative.

• Now, you firmly believe that climate change is real.

Does this summary capture your experience accurately? Feel free to add or adjust anything!",,believer,"Yeah, I used to be skeptical but now I think it's real Yeah, I was at a bbq with my uncle Yeah, he's a cliamte skeptic and I used to think he was cool, but he was being aggressive and weird about it all. Made me feel uncformtable Yeah, I just didn't like his vibe and started to look for other info Watched youtube Yeah, Mr Climate Well produced, made sense. Cooler than mu\y uncle I guess I just used to listen to my uncle and family but started hearing different info Not sure I just think it's real Mostly the convo with my uncle",true,true,30,Bachelor's degree,Man,false,65dba151-7796-4dde-8981-a690d6e069bf,,,12312312313,2025-09-03T04:20:21.422Z,2025-09-03T04:09:05.798Z,,,,,,,,,,,,,,6,
,,,neutral,,false,true,30,High school,Man,false,67e3605d-af2c-4226-8664-60fa4cf3eb5f,,,edededed,,2025-08-28T00:41:40.453Z,,,,,,,,,,,,,,5,
,,,neutral,,true,true,66,,Woman,false,69be05c6-858c-4cfc-9c4e-eaabce8eaef8,,,3334343434,,2025-09-17T03:27:46.466Z,,,,,,,,,,,,,,,
,,,neutral,"Yeah, I used to think it was fake but now I thi k it is real I watched a lot of media Yeah, Youtube videos about cliamte change I liked mr climate and all his content Yeah it made me feel more confident that we needed more action to address it Now i think the most important thing is good government policy and investment in renewables I think mostly the renewable investment I think solar is really good Well, the energy can be stored in batteries and it's infinite power I think it is demonised in the media and there is a lot of misinformation about it I think government intervention to stop misinfomration No, that's it That's it",true,true,26,High school diploma or equivalent,Non-binary,false,6a0ebbdb-da3c-4376-8905-7391ae48927e,,94,3334343434,2025-09-10T23:46:07.909Z,2025-09-10T23:35:05.227Z,,,,,,,,,,,,,,6,
,,,neutral,,true,true,34,"Some college, no degree",Woman,false,6e165fb7-a6d1-4156-a5d2-defea67d2bc9,,75,3334343434,2025-09-16T04:06:44.393Z,2025-09-16T04:05:15.078Z,,,,,,,,,,,,,,,
,"Absolutely! Here’s a summary of the key themes from your story about your belief change regarding climate change:

• You initially believed climate change was fake.

• A conversation with your uncle during Christmas, where he was rude to your mum, prompted you to rethink your beliefs.

• You used to value your uncle’s opinions but began to question that influence.

• The process of reconsideration felt gradual and followed that encounter.

• Watching YouTube videos about climate science helped you explore the topic further.

Does this capture your experience accurately, or is there anything you’d like to add or adjust?",,neutral,"Oh sorry. Yeah I used to think it was fake, now i think it's real. Well, I was talking with my uncle at christmas Well, he thinks it's fake and I used to like him, but he was rude to my mum Well, I hadn't thought much about it but really started to think more after seeing he was rude. I used to take on his opinions a lot and now I'm not sure Seemed gradual after then, i started watching youtube videos about cliamte science can you recap my points? thats all",true,true,30,,Non-binary,false,6f986d9a-daaa-40f7-a85b-18eff1b1ca3e,,,23423432432,,2025-09-23T01:06:48.756Z,,,,,,,,,,,,,,,
,,,neutral,,false,true,30,Less than high school,Man,false,8015b4ac-2640-4b40-bf0d-06b67bee1364,,,edededed,2025-08-27T23:44:10.941Z,2025-08-27T23:39:43.348Z,,,,,,,,,,,,,,6,
,,,believer,,true,true,30,Less than high school,Man,false,80ec6b9e-06b7-41f0-95c5-a8978700b883,,,edededed,,2025-09-02T00:21:45.950Z,,,,,,,,,,,,,,7,
,,,neutral,,true,true,,,,false,86e79db7-e5aa-4f1c-91e2-460022449dfe,,91,3334343434,2025-10-08T02:03:29.227Z,2025-10-08T02:02:55.117Z,,,,,,,,,,,,,,,
,,,neutral,"Oh, sorry about that. Yeah, I used to think it was a hoax but now I think it's real. Yeah. I used to think my uncle was really cool. He always hated climate stuff, said it was bogus. Well, I would see him a lot and we would talk while doing work around the farm. BUt then I moved to the city and saw him less. Yeah, I was studying and made a new group of friends. They were all really nice and easier to get along with than my uncle. He could be pretty intense. Well, they were just really level headed and not very aggressive about their views. Yeah, way more open Definitely the conversations and new environment I think we need to do more MOre government intervention Taxing mining companies I think this is all I have to say No, that's it",true,true,31,High school diploma or equivalent,Man,false,8d186f46-036e-4753-925c-bd3047232ccd,,100,3334343434,2025-09-04T23:18:46.638Z,2025-09-04T23:11:13.596Z,,,,,,,,,,,,,,6,
,,,neutral,,false,true,25,Bachelor,Man,false,91cc3783-bead-4ab4-a24d-46aa3b5e3b0c,,,,,2025-08-27T23:25:40.576Z,,,,,,,,,,,,,,4,
,,,believer,"Yeah I think it's real now Well, I think it's real and happening",true,true,30,Less than high school,Man,false,94a5b6c3-9c8e-4eab-8766-2161ba226f25,,,edededed,,2025-09-02T05:50:18.179Z,,,,,,,,,,,,,,5,
,,,neutral,,false,true,30,Less than high school,Man,false,97124b74-2bb5-4eac-8265-2c18beaadc2c,,,edededed,,2025-08-27T23:31:12.477Z,,,,,,,,,,,,,,5,
,,,believer,,true,true,,,,false,989b6d71-c940-4562-8768-681745c59f53,,,,,2025-09-02T07:10:59.279Z,,,,,,,,,,,,,,,
,"Thank you for adding that important detail. Let me update the recap to include your uncle's influence. Here's what I have now:

• ""I used to think it was fake but now I think it's real.""
• ""It’s happening and largely man-made.""
• ""I watched a lot of Youtube videos where climate deniers would roast leftists.""
• ""One day, one of the youtubers got humiliated on another channel.""
• ""It looked weak.""
• ""I got bored of the whole thing and felt like it didn't really match my views anymore.""
• ""Seeing the Youtuber get roasted was definitely the most important part of my change.""
• ""Now I'm pretty confident it's all real.""
• ""My uncle is a",,believer,"I think it is real and happening and largely man made What do you mean? I see. Well, I used to think it was fake but now I think it's real. I used to watch a lot of Youtube videos where climate deniers would roast leftists. But one day, one of the youtubers got humiliated on another channel. It looked weak. Well, I guess I got bored of the whole thing and felt like it didn't really match my views anymore Definitely seeing the Youtuber get roasted. Now I'm pretty confident it's all real Oh yeah, actually, my uncle is a big sceptic. I used to think he was really cool but then I saw him be mean to my cousin and it made me hate him.",true,true,,,,false,9a5943c1-23b0-468e-9410-d3d502c5a6da,,,4543543,,2025-08-29T05:44:42.104Z,,,,,,,,,,,,,,,
,,,believer,It's real,true,true,,,,false,9a9a3594-7631-4ea3-9b41-7dad9da64d71,,,edededed,,2025-08-29T06:16:16.231Z,,,,,,,,,,,,,,,
,,,neutral,,false,false,,,,false,9d741132-305a-48f8-bbd2-352a441cdd52,,,,,2025-09-04T05:15:22.518Z,,,,,,,,,,,,,,,
,,,neutral,,true,true,31,Less than high school,Man,false,9dcc194d-dbbe-49a5-8847-d83a5f615686,,,3334343434,,2025-09-04T22:36:25.013Z,,,,,,,,,,,,,,6,
,,,believer,"Well, I was chatting with my uncle and he mentioned that he used to think it was all a hoax but now he thinks it's real. Yeah, my uncle I told you this before My uncle",true,true,,,,false,a25c03c1-b61f-4a67-8117-252a87c767c0,,,edededed,,2025-09-01T01:30:21.376Z,,,,,,,,,,,,,,,
,,,neutral,,true,true,,,,false,a51cfc71-b161-4ce6-9a59-14fe8cc640bb,,69,3334343434,2025-09-30T02:53:13.849Z,2025-09-30T02:53:01.805Z,,,,,,,,,,,,,,,
,,,neutral,,true,true,,,,false,aa158ee0-8109-4221-9af8-2930a80bad9f,,86,3334343434,2025-09-09T02:15:56.050Z,2025-09-09T02:15:43.454Z,,,,,,,,,,,,,,,
,,,believer,,true,true,,,,false,ab647845-4fa4-443a-ad46-a21bff2d0e52,,,edededed,2025-09-02T01:27:22.974Z,2025-09-02T01:25:27.627Z,,,,,,,,,,,,,,,
,,,neutral,,false,true,30,Less than high school,Man,false,acc190bb-afa3-4f5f-ad88-c6861c7c0c92,,,343434343,,2025-08-28T00:23:43.110Z,,,,,,,,,,,,,,3,
,,,neutral,,false,true,25,Bachelor,Man,false,ad64f661-92e3-4406-92c3-8585bc5ac00d,,,,,2025-08-27T23:25:40.638Z,,,,,,,,,,,,,,4,
,"Got it! It seems like consuming more conservative media has played a significant role in your perspective shift. Thanks for sharing that insight. 

Here's a quick summary of what I heard from you:
- Your shift in beliefs was gradual rather than sudden.
- A key factor in your change was stopping the consumption of liberal media.
- Listening to more conservative media, like Bill O'Reilly, influenced your views on climate change.

Does that sound right? Did I miss anything important?",,skeptic,"I used to think it was all legit but now I think it' More of a gradual change. I just stopped listening to liberal media. Yeah I really like Bill O'Reilly. Funny guy,. definitely listening to more conservative media.",true,true,33,Less than high school,Man,false,ae37e4de-0162-4118-9171-89c504a359d9,,,e3e3e3e3e3,,2025-09-01T04:39:54.942Z,,,,,,,,,,,,,,2,
,,,believer,"Hi there I used to be a sceptic I used to be a sceptic No No Yeah ok I'll tell you I don't know if there was a single one experience Yeah ok, I remember now. I was at a family bbq with my uncle. He's a cool guy and a cliamte scientist. My dad doesn't like him but he made some good points at the bbq. He showed me some data that I really liked Yeah he showed me graphs that the temp is going up, even if I cant see stuff that might mess with that Well, I started listening to different media and it just made more sense I was watching some different youtube stuff cause I was interested in what was out there Yeah, I like Mr Climate. He really sold the whole thing to me. It was well produced and not as angry as I expected I thought they were all a bunch of nutters I was open to it",true,true,30,Less than high school,Woman,false,b5556be4-7e3b-443a-8956-5d08ffc8528a,,,edededed,2025-09-03T02:52:11.384Z,2025-09-03T02:44:42.167Z,,,,,,,,,,,,,,6,
,,,neutral,,false,true,25,Bachelor,Man,false,baceb4f8-c03e-41ef-8f49-2fb54d1a5678,,,,,2025-08-27T23:25:40.559Z,,,,,,,,,,,,,,4,
,,,neutral,,false,true,40,Less than high school,Woman,false,bafbd953-9fe2-4bea-bc0c-c0ec42bf2c8f,,,afhfahfha4r4,,2025-08-28T00:51:30.519Z,,,,,,,,,,,,,,5,
,,,neutral,,true,true,30,"Some college, no degree",Man,false,bd8f6e1a-e24f-4625-9e7b-e2b1d12463ab,,,23423432432,,2025-09-16T01:21:11.322Z,,,,,,,,,,,,,,,
,,,skeptic,"I think climate skeptics are cool I like how they produce cool videos on youtube I watch this guy, Mr skeptic, and he is really funny. He rips on the libs. I just started to think it was all a joke. A hoax done by the elites to make my life hard.",true,true,,,,false,bf64ced7-420f-49b3-a173-bc26617c17c9,,,edededed,,2025-09-01T04:37:15.491Z,,,,,,,,,,,,,,,
,,,neutral,,true,true,,,,false,c0a5c65a-e14f-4879-ac5d-830ed423d898,,100,3334343434,2025-09-30T03:10:35.420Z,2025-09-30T03:10:26.496Z,,,,,,,,,,,,,,,
,,,neutral,"fgfgd Yeah sorry. Yeah I did change my mind. Well, I guess i happened pretty naturally. Yeah, I started seeing my uncle less and less. I used to see him a lot when I was younger and he thought climate change was all a big hoax. I used to belive him. But then, I went to college and it all changed. Yeah, I had a professor that really sold me on the whole thing. Such a cool guy, did marathons. I like running and I thought he was cool. He was just really reasonable and listened a lot. My uncle always talked at me.",true,true,,,,false,c6069851-5124-4716-8342-fc6e379f5ee5,,,1234566765,,2025-09-04T22:28:50.974Z,,,,,,,,,,,,,,,
,,,neutral,vfvfvf,false,false,,,,false,c62a16ae-7ee1-4520-b868-4f2a0fd51f42,,,,,2025-09-04T05:21:37.788Z,,,,,,,,,,,,,,,
,,,neutral,,true,true,,,,false,c923427d-a0a3-4560-9a26-0fe557935023,,68,3334343434,2025-09-30T03:25:14.962Z,2025-09-30T03:25:02.094Z,,,,,,,,,,,,,,,
,,,neutral,,true,true,,,,false,ca3a51de-4e84-4954-8be6-303d11b06ac5,,67,3334343434,2025-09-17T04:07:26.384Z,2025-09-17T04:04:55.326Z,,,,,,,,,,,,,,,
,,,neutral,,true,true,,,,false,cae9f48c-a384-4475-9f3f-05d4ee383df5,,,3334343434,,2025-09-30T02:27:51.390Z,,,,,,,,,,,,,,,
,,,believer,,true,true,,,,false,cff66acf-9733-41e0-94c9-4140578f52bb,,,edededed,,2025-09-02T00:08:15.904Z,,,,,,,,,,,,,,,
,,,neutral,I used to be super right wing but now I think that stuff is so gross,true,true,30,Prefer not to say,Non-binary,false,d187a367-2db6-4d03-b4be-7aebe3b3ffb1,,33,12345455e33r,2025-09-04T06:10:38.298Z,2025-09-04T06:06:21.369Z,,,,,,,,,,,,,,7,
,,,believer,,true,true,,Less than high school,,false,d2ed5fdf-beab-44c6-b2c5-d6d85907ccf4,,,edededed,,2025-08-29T06:02:48.735Z,,,,,,,,,,,,,,6,
,,,believer,,true,true,,,,false,d3ad5295-79ea-4640-a9af-f5e0a68f58ff,,,,,2025-09-02T07:16:49.681Z,,,,,,,,,,,,,,,
,,,neutral,"Yeah, I used to believe it was real but now I don't I gradually started to think this",true,true,,,,false,d794178a-6563-486a-bb38-4988618806ce,,79,3334343434,2025-09-08T05:11:46.516Z,2025-09-08T05:10:59.858Z,,,,,,,,,,,,,,,
