has_exit_survey,participant_id,post_chat.chatbot_summary_accuracy,post_chat.final_belief_confidence,prolific_id,timestamps.completed,timestamps.started
false,57218852-ca1a-4c15-8497-cd3f0b7e6e58,,,534534543,,2025-09-04T05:39:14.542Z
false,5748dcfb-e576-48ed-b2ea-8b163fc26ad8,,,wdwdw5g5g,,2025-08-28T00:49:28.678Z
true,5bc3b620-1057-4c24-ad61-c9e2f4af254f,,72,3454345435,2025-09-04T05:41:57.734Z,2025-09-04T05:41:32.385Z
false,60307e7d-0d34-4c63-90c9-fd4304f5f6ff,,,edededed,,2025-09-01T04:35:46.726Z
true,6258ec54-28aa-4852-9506-ed3abff52e20,,90,23423432432,2025-09-25T22:46:18.363Z,2025-09-25T22:46:09.464Z
false,63cccaf2-8392-4e6a-9349-8c1e8d6064f4,,,,,2025-09-04T05:11:02.247Z
true,65da03ca-6ae9-4702-9704-d1277f8348aa,,,23423432432,2025-09-22T01:36:14.683Z,2025-09-22T01:34:05.860Z
true,65dba151-7796-4dde-8981-a690d6e069bf,,,12312312313,2025-09-03T04:20:21.422Z,2025-09-03T04:09:05.798Z
false,67e3605d-af2c-4226-8664-60fa4cf3eb5f,,,edededed,,2025-08-28T00:41:40.453Z
false,69be05c6-858c-4cfc-9c4e-eaabce8eaef8,,,3334343434,,2025-09-17T03:27:46.466Z
true,6a0ebbdb-da3c-4376-8905-7391ae48927e,,94,3334343434,2025-09-10T23:46:07.909Z,2025-09-10T23:35:05.227Z
true,6e165fb7-a6d1-4156-a5d2-defea67d2bc9,,75,3334343434,2025-09-16T04:06:44.393Z,2025-09-16T04:05:15.078Z
false,6f986d9a-daaa-40f7-a85b-18eff1b1ca3e,,,23423432432,,2025-09-23T01:06:48.756Z
true,8015b4ac-2640-4b40-bf0d-06b67bee1364,,,edededed,2025-08-27T23:44:10.941Z,2025-08-27T23:39:43.348Z
false,80ec6b9e-06b7-41f0-95c5-a8978700b883,,,edededed,,2025-09-02T00:21:45.950Z
true,86e79db7-e5aa-4f1c-91e2-460022449dfe,,91,3334343434,2025-10-08T02:03:29.227Z,2025-10-08T02:02:55.117Z
true,8d186f46-036e-4753-925c-bd3047232ccd,,100,3334343434,2025-09-04T23:18:46.638Z,2025-09-04T23:11:13.596Z
false,91cc3783-bead-4ab4-a24d-46aa3b5e3b0c,,,,,2025-08-27T23:25:40.576Z
false,94a5b6c3-9c8e-4eab-8766-2161ba226f25,,,edededed,,2025-09-02T05:50:18.179Z
false,97124b74-2bb5-4eac-8265-2c18beaadc2c,,,edededed,,2025-08-27T23:31:12.477Z
false,989b6d71-c940-4562-8768-681745c59f53,,,,,2025-09-02T07:10:59.279Z
false,9a5943c1-23b0-468e-9410-d3d502c5a6da,,,4543543,,2025-08-29T05:44:42.104Z
false,9a9a3594-7631-4ea3-9b41-7dad9da64d71,,,edededed,,2025-08-29T06:16:16.231Z
false,9d741132-305a-48f8-bbd2-352a441cdd52,,,,,2025-09-04T05:15:22.518Z
false,9dcc194d-dbbe-49a5-8847-d83a5f615686,,,3334343434,,2025-09-04T22:36:25.013Z
false,a25c03c1-b61f-4a67-8117-252a87c767c0,,,edededed,,2025-09-01T01:30:21.376Z
true,a51cfc71-b161-4ce6-9a59-14fe8cc640bb,,69,3334343434,2025-09-30T02:53:13.849Z,2025-09-30T02:53:01.805Z
true,aa158ee0-8109-4221-9af8-2930a80bad9f,,86,3334343434,2025-09-09T02:15:56.050Z,2025-09-09T02:15:43.454Z
true,ab647845-4fa4-443a-ad46-a21bff2d0e52,,,edededed,2025-09-02T01:27:22.974Z,2025-09-02T01:25:27.627Z
false,acc190bb-afa3-4f5f-ad88-c6861c7c0c92,,,343434343,,2025-08-28T00:23:43.110Z
false,ad64f661-92e3-4406-92c3-8585bc5ac00d,,,,,2025-08-27T23:25:40.638Z
false,ae37e4de-0162-4118-9171-89c504a359d9,,,e3e3e3e3e3,,2025-09-01T04:39:54.942Z
true,b5556be4-7e3b-443a-8956-5d08ffc8528a,,,edededed,2025-09-03T02:52:11.384Z,2025-09-03T02:44:42.167Z
false,baceb4f8-c03e-41ef-8f49-2fb54d1a5678,,,,,2025-08-27T23:25:40.559Z
false,bafbd953-9fe2-4bea-bc0c-c0ec42bf2c8f,,,afhfahfha4r4,,2025-08-28T00:51:30.519Z
false,bd8f6e1a-e24f-4625-9e7b-e2b1d12463ab,,,23423432432,,2025-09-16T01:21:11.322Z
false,bf64ced7-420f-49b3-a173-bc26617c17c9,,,edededed,,2025-09-01T04:37:15.491Z
true,c0a5c65a-e14f-4879-ac5d-830ed423d898,,100,3334343434,2025-09-30T03:10:35.420Z,2025-09-30T03:10:26.496Z
false,c6069851-5124-4716-8342-fc6e379f5ee5,,,1234566765,,2025-09-04T22:28:50.974Z
false,c62a16ae-7ee1-4520-b868-4f2a0fd51f42,,,,,2025-09-04T05:21:37.788Z
true,c923427d-a0a3-4560-9a26-0fe557935023,,68,3334343434,2025-09-30T03:25:14.962Z,2025-09-30T03:25:02.094Z
true,ca3a51de-4e84-4954-8be6-303d11b06ac5,,67,3334343434,2025-09-17T04:07:26.384Z,2025-09-17T04:04:55.326Z
false,cae9f48c-a384-4475-9f3f-05d4ee383df5,,,3334343434,,2025-09-30T02:27:51.390Z
false,cff66acf-9733-41e0-94c9-4140578f52bb,,,edededed,,2025-09-02T00:08:15.904Z
true,d187a367-2db6-4d03-b4be-7aebe3b3ffb1,,33,12345455e33r,2025-09-04T06:10:38.298Z,2025-09-04T06:06:21.369Z
false,d2ed5fdf-beab-44c6-b2c5-d6d85907ccf4,,,edededed,,2025-08-29T06:02:48.735Z
false,d3ad5295-79ea-4640-a9af-f5e0a68f58ff,,,,,2025-09-02T07:16:49.681Z
true,d794178a-6563-486a-bb38-4988618806ce,,79,3334343434,2025-09-08T05:11:46.516Z,2025-09-08T05:10:59.858Z
true,e056ad52-b88a-423c-907c-002ea0bbfbbe,,,edededed,2025-09-03T02:57:42.507Z,2025-09-03T02:53:36.441Z
true,e0a677fc-a9ed-43f5-954f-e7053b69d86f,,85,1234567,2025-09-04T05:45:04.350Z,2025-09-04T05:44:38.901Z
true,e489a472-3798-4eb4-a6a9-9e149346888f,,66,3334343434,2025-09-17T00:34:20.187Z,2025-09-17T00:34:09.748Z
true,e54a4d85-415a-42dd-ba94-67d1d6e4c60f,,,wdwdw5655,2025-08-27T23:51:25.724Z,2025-08-27T23:50:52.214Z
false,e8201876-0dea-46cf-ae1d-da6ab73f46c0,,,23423432432,,2025-09-04T05:33:28.418Z
false,e83e1d3d-1187-4ac1-b6e9-62b9ceaf5108,,,4r4dfyht,,2025-08-28T01:14:26.075Z
false,e9cddf33-3c34-4057-b8ff-4dc2b4702235,,,edededed,,2025-09-01T04:43:10.664Z
false,ea362dbf-0776-48da-8c82-e3cbf6cf6556,,,edededed3434,,2025-09-01T23:38:59.559Z
true,f163cf0e-113b-4bb4-9e4e-0c78284c4b13,,100,59858585885858585885,2025-10-09T00:43:44.275Z,2025-10-09T00:43:11.878Z
true,f25c8da7-8257-446a-8890-658286ab7272,,,edededed,2025-08-28T00:59:57.724Z,2025-08-28T00:59:37.132Z
false,f69a6df3-7d40-4b3e-ae04-6099e6835f0e,,,,,2025-09-15T05:00:01.122Z
false,fcd95871-9841-4413-a28d-c89477823ee4,,,wdwdwwdw,,2025-08-27T23:39:19.805Z
true,fd288cb8-6a1e-462f-a95b-f0743eed0138,,76,23423432432,2025-09-04T22:38:27.450Z,2025-09-04T22:38:09.240Z
