id,participant_id,prolific_id,timestamp_joined,classification,classification_score,survey_responses.confidence_level,survey_responses.views_changed,survey_responses.consent_anonymised,survey_responses.consent_given,created_at,updated_at,survey_responses.age,survey_responses.gender,survey_responses.political_affiliation,survey_responses.education,survey_responses.change_direction,survey_responses.prior_climate_belief,survey_responses.current_climate_belief
11,1d8e4e7d-9e8e-4eec-b1d3-33e908f1ee59,3334343434,2025-09-16T01:27:59.051Z,neutral,6,66,Yes,true,true,2025-09-16T01:27:59.051Z,2025-09-16T01:27:59.051Z,45,Woman,,High school diploma or equivalent,,,
12,1f01b9f3-ab4e-4539-83fc-be8b16993834,3334343434,2025-09-30T03:17:30.417Z,neutral,6,100,Yes,true,true,2025-09-30T03:17:30.417Z,2025-09-30T03:17:30.417Z,,,,,,,
13,1fd5c8af-5c64-4041-9c99-adaeba9d1e49,,2025-08-29T05:42:05.228Z,pro_climate,4,,Yes,true,true,2025-08-29T05:42:05.228Z,2025-08-29T05:42:05.228Z,,,,,From climate sceptic to climate believer,,
14,21c79531-32e1-4ff7-8215-252532b9baea,3334343434,2025-09-17T00:46:34.737Z,neutral,6,65,Yes,true,true,2025-09-17T00:46:34.737Z,2025-09-17T00:46:34.737Z,45,Man,,High school diploma or equivalent,,,
15,285aac11-4c23-408e-b90a-25fe6bb9937b,3334343434,2025-09-16T00:53:51.945Z,neutral,6,69,Yes,true,true,2025-09-16T00:53:51.945Z,2025-09-16T00:53:51.945Z,49,Man,,"Some college, no degree",,,
16,2aaeb2df-06e7-4505-8ed4-344ae50ec0f6,23423432432,2025-09-11T01:06:16.650Z,neutral,6,89,Yes,true,true,2025-09-11T01:06:16.650Z,2025-09-11T01:06:16.650Z,,,,,,,
17,2ba270d2-c0ce-42ce-8f03-67f80381084d,23423432432,2025-09-22T05:23:50.833Z,neutral,4,,Yes,true,true,2025-09-22T05:23:50.833Z,2025-09-22T05:23:50.833Z,,,,,,,
18,2dd85cf8-341d-4800-9589-5057fa3a058b,687687878,2025-09-02T07:16:03.322Z,pro_climate,6,7,Yes,true,true,2025-09-02T07:16:03.322Z,2025-09-02T07:16:03.322Z,,,,,From climate sceptic to climate believer,,
19,2e4c7343-cde0-4831-8e23-781e3caac0f1,TESTFIX123,2025-08-29T06:24:44.826Z,pro_climate,4,,Yes,true,true,2025-08-29T06:24:44.826Z,2025-08-29T06:24:44.826Z,,,,,From climate sceptic to climate believer,2,7
20,2ea760b1-c792-49b0-a225-71d3d6b84769,edededed,2025-09-02T05:48:21.106Z,pro_climate,4,,Yes,true,true,2025-09-02T05:48:21.106Z,2025-09-02T05:48:21.106Z,,,,,From climate sceptic to climate believer,,
21,3034c06f-810e-47e3-ba1c-2b8f59e780d3,3334343434,2025-09-25T01:44:50.532Z,neutral,6,99,Yes,true,true,2025-09-25T01:44:50.532Z,2025-09-25T01:44:50.532Z,,,,,,,
22,30be5f9c-4681-41c0-abc2-d861ed4ee8b6,1234432222,2025-09-05T04:24:14.873Z,neutral,6,100,Yes,true,true,2025-09-05T04:24:14.873Z,2025-09-05T04:24:14.873Z,31,Woman,,"Some college, no degree",,,
23,32830ecb-032b-4fdc-a68f-6e1252c88b0b,3334343434,2025-09-16T01:01:24.862Z,neutral,6,76,Yes,true,true,2025-09-16T01:01:24.862Z,2025-09-16T01:01:24.862Z,67,Man,,High school diploma or equivalent,,,
24,3678e7e7-dee8-4599-92fc-19e4191781e4,TEST67890,2025-08-29T06:08:53.605Z,pro_climate,4,,Yes,true,true,2025-08-29T06:08:53.605Z,2025-08-29T06:08:53.605Z,,,,,From climate sceptic to climate believer,,
25,3a9663d2-f1d4-49c8-a65f-46f5db531a65,TEST12345,2025-08-29T06:04:11.803Z,pro_climate,4,,Yes,true,true,2025-08-29T06:04:11.803Z,2025-08-29T06:04:11.803Z,,,,,From climate sceptic to climate believer,,
26,3b1ba6c5-f65d-4b8f-870d-d4c6f668a059,edededed,2025-09-03T03:16:57.725Z,anti_climate,4,5,Yes,true,true,2025-09-03T03:16:57.725Z,2025-09-03T03:16:57.725Z,40,Non-binary,1,Less than high school,From climate believer to climate sceptic,,
27,3cb9cfe1-14e1-494b-bd1c-23a1b37043da,3334343434,2025-09-16T01:09:56.172Z,neutral,6,69,Yes,true,true,2025-09-16T01:09:56.172Z,2025-09-16T01:09:56.172Z,45,Man,,High school diploma or equivalent,,,
28,3e689bda-4ac5-4e7c-a1ee-2b1decda0f1c,3e234234324,2025-09-04T06:03:15.676Z,neutral,6,50,Yes,true,true,2025-09-04T06:03:15.676Z,2025-09-04T06:03:15.676Z,30,Man,6,"Some college, no degree",,,
29,41ca631b-9533-4db6-a78a-b7da994e9cd2,,2025-08-29T05:42:38.640Z,neutral,4,,No,true,true,2025-08-29T05:42:38.640Z,2025-08-29T05:42:38.640Z,,,,,,,
30,4644d6c1-303d-42a5-a18a-ae0e442bf61b,3334343434,2025-09-30T03:00:51.997Z,neutral,6,91,Yes,true,true,2025-09-30T03:00:51.997Z,2025-09-30T03:00:51.997Z,31,Man,,"Some college, no degree",,,
31,4a45d70c-c72e-4f22-9ac3-1c0522104083,edededed,2025-09-05T04:53:05.025Z,neutral,6,100,Yes,true,true,2025-09-05T04:53:05.025Z,2025-09-05T04:53:05.025Z,30,Other,7,Associate degree,,,
32,4a765763-48f3-4f50-be3b-138b3e1343f1,ihgiygiygg,2025-09-11T01:40:11.093Z,neutral,6,50,Yes,true,true,2025-09-11T01:40:11.093Z,2025-09-11T01:40:11.093Z,30,Man,2,High school diploma or equivalent,,,
33,4c09b831-13a1-448b-970f-54fe4446ad68,23423432432,2025-09-17T04:34:56.457Z,neutral,4,,Yes,true,true,2025-09-17T04:34:56.457Z,2025-09-17T04:34:56.457Z,,,,,,,
34,515437d5-e614-4bb0-9d43-3f16174a789b,123456786,2025-09-04T22:55:37.808Z,neutral,6,90,Yes,true,true,2025-09-04T22:55:37.808Z,2025-09-04T22:55:37.808Z,,,,,,,
35,529c7c11-ea77-4829-96fe-8a76d91ba428,edededed,2025-09-01T23:48:32.939Z,anti_climate,4,6,Yes,true,true,2025-09-01T23:48:32.939Z,2025-09-01T23:48:32.939Z,30,Man,1,Less than high school,From climate believer to climate sceptic,,
36,53abf2d9-ddf2-430c-b1f4-3f636da66071,edededed,2025-09-01T01:37:15.247Z,pro_climate,4,,Yes,true,true,2025-09-01T01:37:15.247Z,2025-09-01T01:37:15.247Z,,,,,From climate sceptic to climate believer,,
37,54ea2164-9741-4378-8b84-87beb1f2a4ff,crcrfrfr,2025-08-28T01:10:40.986Z,neutral,4,,,true,true,2025-08-28T01:10:40.986Z,2025-08-28T01:10:40.986Z,30,Man,3,Less than high school,,2,2
38,57218852-ca1a-4c15-8497-cd3f0b7e6e58,534534543,2025-09-04T05:39:14.542Z,neutral,6,70,Yes,true,true,2025-09-04T05:39:14.542Z,2025-09-04T05:39:14.542Z,30,Man,5,High school diploma or equivalent,,,
39,5748dcfb-e576-48ed-b2ea-8b163fc26ad8,wdwdw5g5g,2025-08-28T00:49:28.678Z,neutral,4,,,true,true,2025-08-28T00:49:28.678Z,2025-08-28T00:49:28.678Z,34,Woman,5,Less than high school,,2,6
40,5bc3b620-1057-4c24-ad61-c9e2f4af254f,3454345435,2025-09-04T05:41:32.385Z,neutral,6,82,Yes,true,true,2025-09-04T05:41:32.385Z,2025-09-04T05:41:32.385Z,30,Man,5,"Some college, no degree",,,
41,60307e7d-0d34-4c63-90c9-fd4304f5f6ff,edededed,2025-09-01T04:35:46.726Z,anti_climate,4,5,Yes,true,true,2025-09-01T04:35:46.726Z,2025-09-01T04:35:46.726Z,,,,,From climate believer to climate sceptic,,
42,6258ec54-28aa-4852-9506-ed3abff52e20,23423432432,2025-09-25T22:46:09.464Z,neutral,6,75,Yes,true,true,2025-09-25T22:46:09.464Z,2025-09-25T22:46:09.464Z,,,,,,,
43,63cccaf2-8392-4e6a-9349-8c1e8d6064f4,,2025-09-04T05:11:02.247Z,neutral,4,,,,,2025-09-04T05:11:02.247Z,2025-09-04T05:11:02.247Z,30,Man,,Associate degree,,,
44,65da03ca-6ae9-4702-9704-d1277f8348aa,23423432432,2025-09-22T01:34:05.860Z,neutral,4,,Yes,true,true,2025-09-22T01:34:05.860Z,2025-09-22T01:34:05.860Z,,,,,,,
45,65dba151-7796-4dde-8981-a690d6e069bf,12312312313,2025-09-03T04:09:05.798Z,pro_climate,4,6,Yes,true,true,2025-09-03T04:09:05.798Z,2025-09-03T04:09:05.798Z,30,Man,6,Bachelor's degree,From climate sceptic to climate believer,,
46,67e3605d-af2c-4226-8664-60fa4cf3eb5f,edededed,2025-08-28T00:41:40.453Z,neutral,4,,,true,true,2025-08-28T00:41:40.453Z,2025-08-28T00:41:40.453Z,30,Man,5,High school,,2,6
47,69be05c6-858c-4cfc-9c4e-eaabce8eaef8,3334343434,2025-09-17T03:27:46.466Z,neutral,6,75,Yes,true,true,2025-09-17T03:27:46.466Z,2025-09-17T03:27:46.466Z,66,Woman,,,,,
48,6a0ebbdb-da3c-4376-8905-7391ae48927e,3334343434,2025-09-10T23:35:05.227Z,neutral,6,100,Yes,true,true,2025-09-10T23:35:05.227Z,2025-09-10T23:35:05.227Z,26,Non-binary,6,High school diploma or equivalent,,,
49,6e165fb7-a6d1-4156-a5d2-defea67d2bc9,3334343434,2025-09-16T04:05:15.078Z,neutral,6,66,Yes,true,true,2025-09-16T04:05:15.078Z,2025-09-16T04:05:15.078Z,34,Woman,,"Some college, no degree",,,
50,6f986d9a-daaa-40f7-a85b-18eff1b1ca3e,23423432432,2025-09-23T01:06:48.756Z,neutral,4,,Yes,true,true,2025-09-23T01:06:48.756Z,2025-09-23T01:06:48.756Z,30,Non-binary,,,,,
51,8015b4ac-2640-4b40-bf0d-06b67bee1364,edededed,2025-08-27T23:39:43.348Z,neutral,4,,,true,true,2025-08-27T23:39:43.348Z,2025-08-27T23:39:43.348Z,30,Man,6,Less than high school,,3,6
52,80ec6b9e-06b7-41f0-95c5-a8978700b883,edededed,2025-09-02T00:21:45.950Z,pro_climate,6,7,Yes,true,true,2025-09-02T00:21:45.950Z,2025-09-02T00:21:45.950Z,30,Man,7,Less than high school,From climate sceptic to climate believer,,
53,86e79db7-e5aa-4f1c-91e2-460022449dfe,3334343434,2025-10-08T02:02:55.117Z,neutral,6,84,Yes,true,true,2025-10-08T02:02:55.117Z,2025-10-08T02:02:55.117Z,,,,,,,
54,8d186f46-036e-4753-925c-bd3047232ccd,3334343434,2025-09-04T23:11:13.596Z,neutral,6,100,Yes,true,true,2025-09-04T23:11:13.596Z,2025-09-04T23:11:13.596Z,31,Man,6,High school diploma or equivalent,,,
55,91cc3783-bead-4ab4-a24d-46aa3b5e3b0c,,2025-08-27T23:25:40.576Z,neutral,4,,,true,true,2025-08-27T23:25:40.576Z,2025-08-27T23:25:40.576Z,25,Man,4,Bachelor,,2,5
56,94a5b6c3-9c8e-4eab-8766-2161ba226f25,edededed,2025-09-02T05:50:18.179Z,pro_climate,4,5,Yes,true,true,2025-09-02T05:50:18.179Z,2025-09-02T05:50:18.179Z,30,Man,5,Less than high school,From climate sceptic to climate believer,,
57,97124b74-2bb5-4eac-8265-2c18beaadc2c,edededed,2025-08-27T23:31:12.477Z,neutral,4,,,true,true,2025-08-27T23:31:12.477Z,2025-08-27T23:31:12.477Z,30,Man,5,Less than high school,,2,6
58,989b6d71-c940-4562-8768-681745c59f53,,2025-09-02T07:10:59.279Z,pro_climate,4,,Yes,true,true,2025-09-02T07:10:59.279Z,2025-09-02T07:10:59.279Z,,,,,From climate sceptic to climate believer,,
59,9a5943c1-23b0-468e-9410-d3d502c5a6da,4543543,2025-08-29T05:44:42.104Z,pro_climate,4,,Yes,true,true,2025-08-29T05:44:42.104Z,2025-08-29T05:44:42.104Z,,,,,From climate sceptic to climate believer,,
60,9a9a3594-7631-4ea3-9b41-7dad9da64d71,edededed,2025-08-29T06:16:16.231Z,pro_climate,4,,Yes,true,true,2025-08-29T06:16:16.231Z,2025-08-29T06:16:16.231Z,,,,,From climate sceptic to climate believer,,
61,9d741132-305a-48f8-bbd2-352a441cdd52,,2025-09-04T05:15:22.518Z,neutral,4,,,,,2025-09-04T05:15:22.518Z,2025-09-04T05:15:22.518Z,,,,,,,
62,9dcc194d-dbbe-49a5-8847-d83a5f615686,3334343434,2025-09-04T22:36:25.013Z,neutral,6,75,Yes,true,true,2025-09-04T22:36:25.013Z,2025-09-04T22:36:25.013Z,31,Man,6,Less than high school,,,
63,a25c03c1-b61f-4a67-8117-252a87c767c0,edededed,2025-09-01T01:30:21.376Z,pro_climate,4,,Yes,true,true,2025-09-01T01:30:21.376Z,2025-09-01T01:30:21.376Z,,,,,From climate sceptic to climate believer,,
64,a51cfc71-b161-4ce6-9a59-14fe8cc640bb,3334343434,2025-09-30T02:53:01.805Z,neutral,4,,Yes,true,true,2025-09-30T02:53:01.805Z,2025-09-30T02:53:01.805Z,,,,,,,
65,aa158ee0-8109-4221-9af8-2930a80bad9f,3334343434,2025-09-09T02:15:43.454Z,neutral,6,92,Yes,true,true,2025-09-09T02:15:43.454Z,2025-09-09T02:15:43.454Z,,,,,,,
66,ab647845-4fa4-443a-ad46-a21bff2d0e52,edededed,2025-09-02T01:25:27.627Z,pro_climate,4,,Yes,true,true,2025-09-02T01:25:27.627Z,2025-09-02T01:25:27.627Z,,,,,From climate sceptic to climate believer,,
67,acc190bb-afa3-4f5f-ad88-c6861c7c0c92,343434343,2025-08-28T00:23:43.110Z,neutral,4,,,true,true,2025-08-28T00:23:43.110Z,2025-08-28T00:23:43.110Z,30,Man,3,Less than high school,,5,2
68,ad64f661-92e3-4406-92c3-8585bc5ac00d,,2025-08-27T23:25:40.638Z,neutral,4,,,true,true,2025-08-27T23:25:40.638Z,2025-08-27T23:25:40.638Z,25,Man,4,Bachelor,,1,7
69,ae37e4de-0162-4118-9171-89c504a359d9,e3e3e3e3e3,2025-09-01T04:39:54.942Z,anti_climate,6,7,Yes,true,true,2025-09-01T04:39:54.942Z,2025-09-01T04:39:54.942Z,33,Man,2,Less than high school,From climate believer to climate sceptic,,
70,b5556be4-7e3b-443a-8956-5d08ffc8528a,edededed,2025-09-03T02:44:42.167Z,pro_climate,4,6,Yes,true,true,2025-09-03T02:44:42.167Z,2025-09-03T02:44:42.167Z,30,Woman,6,Less than high school,From climate sceptic to climate believer,,
71,baceb4f8-c03e-41ef-8f49-2fb54d1a5678,,2025-08-27T23:25:40.559Z,neutral,4,,,true,true,2025-08-27T23:25:40.559Z,2025-08-27T23:25:40.559Z,25,Man,4,Bachelor,,1,7
72,bafbd953-9fe2-4bea-bc0c-c0ec42bf2c8f,afhfahfha4r4,2025-08-28T00:51:30.519Z,neutral,4,,,true,true,2025-08-28T00:51:30.519Z,2025-08-28T00:51:30.519Z,40,Woman,5,Less than high school,,3,6
73,bd8f6e1a-e24f-4625-9e7b-e2b1d12463ab,23423432432,2025-09-16T01:21:11.322Z,neutral,6,68,Yes,true,true,2025-09-16T01:21:11.322Z,2025-09-16T01:21:11.322Z,30,Man,,"Some college, no degree",,,
74,bf64ced7-420f-49b3-a173-bc26617c17c9,edededed,2025-09-01T04:37:15.491Z,anti_climate,4,,Yes,true,true,2025-09-01T04:37:15.491Z,2025-09-01T04:37:15.491Z,,,,,From climate believer to climate sceptic,,
75,c0a5c65a-e14f-4879-ac5d-830ed423d898,3334343434,2025-09-30T03:10:26.496Z,neutral,6,100,Yes,true,true,2025-09-30T03:10:26.496Z,2025-09-30T03:10:26.496Z,,,,,,,
76,c6069851-5124-4716-8342-fc6e379f5ee5,1234566765,2025-09-04T22:28:50.974Z,neutral,6,74,Yes,true,true,2025-09-04T22:28:50.974Z,2025-09-04T22:28:50.974Z,,,,,,,
77,c62a16ae-7ee1-4520-b868-4f2a0fd51f42,,2025-09-04T05:21:37.788Z,neutral,4,,,,,2025-09-04T05:21:37.788Z,2025-09-04T05:21:37.788Z,,,,,,,
78,c923427d-a0a3-4560-9a26-0fe557935023,3334343434,2025-09-30T03:25:02.094Z,neutral,4,,Yes,true,true,2025-09-30T03:25:02.094Z,2025-09-30T03:25:02.094Z,,,,,,,
79,ca3a51de-4e84-4954-8be6-303d11b06ac5,3334343434,2025-09-17T04:04:55.326Z,neutral,6,64,Yes,true,true,2025-09-17T04:04:55.326Z,2025-09-17T04:04:55.326Z,,,,,,,
80,cae9f48c-a384-4475-9f3f-05d4ee383df5,3334343434,2025-09-30T02:27:51.390Z,neutral,6,100,Yes,true,true,2025-09-30T02:27:51.390Z,2025-09-30T02:27:51.390Z,,,,,,,
81,cff66acf-9733-41e0-94c9-4140578f52bb,edededed,2025-09-02T00:08:15.904Z,pro_climate,6,7,Yes,true,true,2025-09-02T00:08:15.904Z,2025-09-02T00:08:15.904Z,,,,,From climate sceptic to climate believer,,
82,d187a367-2db6-4d03-b4be-7aebe3b3ffb1,12345455e33r,2025-09-04T06:06:21.369Z,neutral,6,50,Yes,true,true,2025-09-04T06:06:21.369Z,2025-09-04T06:06:21.369Z,30,Non-binary,7,Prefer not to say,,,
83,d2ed5fdf-beab-44c6-b2c5-d6d85907ccf4,edededed,2025-08-29T06:02:48.735Z,pro_climate,4,,Yes,true,true,2025-08-29T06:02:48.735Z,2025-08-29T06:02:48.735Z,,,6,Less than high school,From climate sceptic to climate believer,,
84,d3ad5295-79ea-4640-a9af-f5e0a68f58ff,,2025-09-02T07:16:49.681Z,pro_climate,4,,Yes,true,true,2025-09-02T07:16:49.681Z,2025-09-02T07:16:49.681Z,,,,,From climate sceptic to climate believer,,
85,d794178a-6563-486a-bb38-4988618806ce,3334343434,2025-09-08T05:10:59.858Z,neutral,6,79,Yes,true,true,2025-09-08T05:10:59.858Z,2025-09-08T05:10:59.858Z,,,,,,,
86,e056ad52-b88a-423c-907c-002ea0bbfbbe,edededed,2025-09-03T02:53:36.441Z,pro_climate,6,7,Yes,true,true,2025-09-03T02:53:36.441Z,2025-09-03T02:53:36.441Z,30,Man,6,Bachelor's degree,From climate sceptic to climate believer,,
87,e0a677fc-a9ed-43f5-954f-e7053b69d86f,1234567,2025-09-04T05:44:38.901Z,neutral,6,84,Yes,true,true,2025-09-04T05:44:38.901Z,2025-09-04T05:44:38.901Z,30,Man,6,Prefer not to say,,,
88,e489a472-3798-4eb4-a6a9-9e149346888f,3334343434,2025-09-17T00:34:09.748Z,neutral,6,64,Yes,true,true,2025-09-17T00:34:09.748Z,2025-09-17T00:34:09.748Z,56,Man,,High school diploma or equivalent,,,
89,e54a4d85-415a-42dd-ba94-67d1d6e4c60f,wdwdw5655,2025-08-27T23:50:52.214Z,neutral,4,,,true,true,2025-08-27T23:50:52.214Z,2025-08-27T23:50:52.214Z,30,Man,4,Less than high school,,6,2
90,e8201876-0dea-46cf-ae1d-da6ab73f46c0,23423432432,2025-09-04T05:33:28.418Z,neutral,6,66,Yes,true,true,2025-09-04T05:33:28.418Z,2025-09-04T05:33:28.418Z,30,Man,5,"Some college, no degree",,,
91,e83e1d3d-1187-4ac1-b6e9-62b9ceaf5108,4r4dfyht,2025-08-28T01:14:26.075Z,neutral,4,,,true,true,2025-08-28T01:14:26.075Z,2025-08-28T01:14:26.075Z,22,Woman,4,Less than high school,,2,6
92,e9cddf33-3c34-4057-b8ff-4dc2b4702235,edededed,2025-09-01T04:43:10.664Z,pro_climate,4,6,Yes,true,true,2025-09-01T04:43:10.664Z,2025-09-01T04:43:10.664Z,,,,,From climate sceptic to climate believer,,
93,ea362dbf-0776-48da-8c82-e3cbf6cf6556,edededed3434,2025-09-01T23:38:59.559Z,pro_climate,6,7,Yes,true,true,2025-09-01T23:38:59.559Z,2025-09-01T23:38:59.559Z,30,Woman,6,Less than high school,From climate sceptic to climate believer,,
94,f163cf0e-113b-4bb4-9e4e-0c78284c4b13,59858585885858585885,2025-10-09T00:43:11.878Z,neutral,6,100,Yes,true,true,2025-10-09T00:43:11.878Z,2025-10-09T00:43:11.878Z,31,,,Less than high school,,,
95,f25c8da7-8257-446a-8890-658286ab7272,edededed,2025-08-28T00:59:37.132Z,neutral,4,,,true,true,2025-08-28T00:59:37.132Z,2025-08-28T00:59:37.132Z,30,Man,5,Less than high school,,3,6
96,f69a6df3-7d40-4b3e-ae04-6099e6835f0e,,2025-09-15T05:00:01.122Z,neutral,4,,No,true,true,2025-09-15T05:00:01.122Z,2025-09-15T05:00:01.122Z,,,,,,,
97,fcd95871-9841-4413-a28d-c89477823ee4,wdwdwwdw,2025-08-27T23:39:19.805Z,neutral,4,,,true,true,2025-08-27T23:39:19.805Z,2025-08-27T23:39:19.805Z,30,Man,5,Less than high school,,3,3
98,fd288cb8-6a1e-462f-a95b-f0743eed0138,23423432432,2025-09-04T22:38:09.240Z,neutral,6,90,Yes,true,true,2025-09-04T22:38:09.240Z,2025-09-04T22:38:09.240Z,,,,,,,
